"State Code","Year","Beach ID","Beach Name","County","Swim SeasonStart Date","Swim SeasonEnd Date","ReportingFrequency","ReportingUnits","Activity Sample","Actual StartDate","Actual StopDate","Action Duration","Description Text","Comment Text","Action Reason","Action Source","Action Indicator"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","26-JUL-11","26-JUL-11","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","20-JUN-12","21-JUN-12","2","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CLOSURE","24-AUG-11","24-AUG-11","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CLOSURE","28-AUG-11","28-AUG-11","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CLOSURE","28-JUL-11","29-JUL-11","2","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CLOSURE","30-JUL-11","30-JUL-11","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","26-JUN-12","26-JUN-12","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","29-JUN-12","29-JUN-12","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","04-JUL-12","04-JUL-12","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CLOSURE","19-JUN-12","19-JUN-12","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CLOSURE","11-AUG-12","11-AUG-12","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CLOSURE","19-JUL-12","20-JUL-12","2","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","21-JUL-12","21-JUL-12","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","26-JUL-12","26-JUL-12","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CLOSURE","17-AUG-12","17-AUG-12","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","Advisory","09-AUG-01","17-AUG-01","8","-","-","ELEV_BACT","STORM","E_COLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","Advisory","26-JUL-00","03-AUG-00","8","-","-","ELEV_BACT","UNKNOWN","E_COLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","Advisory","16-AUG-00","24-AUG-00","8","-","-","RAINFALL","STORM","E_COLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","Advisory","16-AUG-00","24-AUG-00","8","-","-","ELEV_BACT","STORM","E_COLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","CONTAM_ADV","10-JUN-19","10-JUN-19","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","CONTAM_ADV","26-JUN-19","26-JUN-19","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","CONTAM_ADV","15-AUG-19","15-AUG-19","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","CONTAM_ADV","17-JUL-19","17-JUL-19","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","CONTAM_ADV","30-JUL-19","30-JUL-19","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","CONTAM_ADV","08-JUL-20","08-JUL-20","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","CONTAM_ADV","13-AUG-19","13-AUG-19","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","CLOSURE","14-AUG-19","14-AUG-19","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","CONTAM_ADV","04-JUN-20","04-JUN-20","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","CONTAM_ADV","30-JUN-20","30-JUN-20","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","CONTAM_ADV","11-JUN-20","11-JUN-20","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","CONTAM_ADV","28-JUL-20","28-JUL-20","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","CONTAM_ADV","13-AUG-20","13-AUG-20","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","24-MAY-20","07-SEP-20","1","PER_YEAR","CONTAM_ADV","12-AUG-20","12-AUG-20","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","10-JUN-19","10-JUN-19","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","26-JUN-19","26-JUN-19","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","15-AUG-19","15-AUG-19","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","17-JUL-19","17-JUL-19","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","30-JUL-19","30-JUL-19","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","08-JUL-20","08-JUL-20","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","13-AUG-19","13-AUG-19","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CLOSURE","14-AUG-19","14-AUG-19","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","04-JUN-20","04-JUN-20","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","30-JUN-20","30-JUN-20","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","11-JUN-20","11-JUN-20","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
