"State","Year","Beach Id","Beach Name","County","No. of beach actions","No. ofDays Under Action","No. of actions lessthan 1 day duration","No. of actions of 1 day duration","No. of actions of 2 day duration","No. of actions of 3 - 7 day duration","No. of actions of 8 - 30 day duration","No. of actions greater than 30 day duration"
"MI","2011","MI001162","Singing Bridge Beach","ARENAC","2","115","0","0","0","1","0","1"
"MI","2010","MI001162","Singing Bridge Beach","ARENAC","8","33","0","0","3","5","0","0"
"MI","2009","MI001162","Singing Bridge Beach","ARENAC","2","142","0","0","0","0","1","1"
"MI","2008","MI001162","Singing Bridge Beach","ARENAC","4","34","0","0","0","2","2","0"
"MI","2007","MI001162","Singing Bridge Beach","ARENAC","2","6","0","0","0","2","0","0"
"MI","2006","MI001162","Singing Bridge Beach","ARENAC","1","9","0","0","0","0","1","0"
"MI","2005","MI001162","Singing Bridge Beach","ARENAC","3","62","0","0","0","1","1","1"
"MI","2004","MI001162","Singing Bridge Beach","ARENAC","2","14","0","0","0","1","1","0"
"MI","2003","MI001162","Singing Bridge Beach","ARENAC","3","7","0","2","0","1","0","0"
"MI","2014","MI001163","Twining Road Beach","ARENAC","1","8","0","0","0","0","1","0"
"MI","2013","MI001163","Twining Road Beach","ARENAC","1","10","0","0","0","0","1","0"
"MI","2011","MI001163","Twining Road Beach","ARENAC","2","14","0","0","0","2","0","0"
"MI","2009","MI001163","Twining Road Beach","ARENAC","1","13","0","0","0","0","1","0"
"MI","2006","MI001163","Twining Road Beach","ARENAC","1","8","0","0","0","0","1","0"
"MI","2005","MI001163","Twining Road Beach","ARENAC","1","7","0","0","0","1","0","0"
"MI","2004","MI001163","Twining Road Beach","ARENAC","1","6","0","0","0","1","0","0"
"MI","2003","MI001163","Twining Road Beach","ARENAC","1","1","0","1","0","0","0","0"
"MI","2019","MI001164","Whites Beach","ARENAC","2","26","0","0","0","1","1","0"
"MI","2018","MI001164","Whites Beach","ARENAC","2","20","0","0","0","1","1","0"
"MI","2014","MI001164","Whites Beach","ARENAC","2","14","0","0","0","2","0","0"
"MI","2013","MI001164","Whites Beach","ARENAC","2","28","0","0","0","0","2","0"
"MI","2010","MI001164","Whites Beach","ARENAC","1","2","0","0","1","0","0","0"
"MI","2009","MI001164","Whites Beach","ARENAC","2","23","0","0","0","0","2","0"
"MI","2007","MI001164","Whites Beach","ARENAC","4","72","0","0","0","2","1","1"
"MI","2006","MI001164","Whites Beach","ARENAC","3","11","0","1","0","2","0","0"
"MI","2005","MI001164","Whites Beach","ARENAC","4","21","0","0","1","3","0","0"
"MI","2004","MI001164","Whites Beach","ARENAC","1","6","0","0","0","1","0","0"
"MI","2003","MI001164","Whites Beach","ARENAC","1","9","0","0","0","0","1","0"
"PR","2019","PR545607","BALNEARIO PUNTA GUILARTE, ARROYO","ARROYO","1","5","0","0","0","1","0","0"
"PR","2018","PR545607","BALNEARIO PUNTA GUILARTE, ARROYO","ARROYO","4","32","0","0","0","3","1","0"
"PR","2017","PR545607","BALNEARIO PUNTA GUILARTE, ARROYO","ARROYO","7","41","0","1","0","4","2","0"
"PR","2016","PR545607","BALNEARIO PUNTA GUILARTE, ARROYO","ARROYO","9","72","0","1","0","7","1","0"
"PR","2015","PR545607","BALNEARIO PUNTA GUILARTE, ARROYO","ARROYO","5","79","0","0","0","0","5","0"
"PR","2014","PR545607","BALNEARIO PUNTA GUILARTE, ARROYO","ARROYO","1","6","0","0","0","1","0","0"
"PR","2010","PR545607","BALNEARIO PUNTA GUILARTE, ARROYO","ARROYO","1","1","0","1","0","0","0","0"
"WI","2020","WI510356","6th Ave W Beach","ASHLAND","8","29","0","1","2","5","0","0"
"WI","2019","WI510356","6th Ave W Beach","ASHLAND","5","15","0","0","1","4","0","0"
"WI","2018","WI510356","6th Ave W Beach","ASHLAND","4","45","0","0","0","2","2","0"
"WI","2017","WI510356","6th Ave W Beach","ASHLAND","3","12","0","1","0","2","0","0"
"WI","2016","WI510356","6th Ave W Beach","ASHLAND","4","19","0","1","0","2","1","0"
"WI","2015","WI510356","6th Ave W Beach","ASHLAND","4","9","0","2","0","2","0","0"
"BR","2016","WI504827","Amnicon Bay","ASHLAND","1","8","0","0","0","0","1","0"
"BR","2018","WI343129","Bad River Mouth East","ASHLAND","3","7","0","1","0","2","0","0"
"BR","2017","WI343129","Bad River Mouth East","ASHLAND","1","6","0","0","0","1","0","0"
"BR","2016","WI343129","Bad River Mouth East","ASHLAND","3","17","0","0","1","1","1","0"
"BR","2014","WI343129","Bad River Mouth East","ASHLAND","3","128","0","0","2","0","0","1"
"BR","2013","WI343129","Bad River Mouth East","ASHLAND","1","1","0","1","0","0","0","0"
"BR","2013","WI343129","Bad River Mouth East","ASHLAND","1","1","0","1","0","0","0","0"
"BR","2013","WI343129","Bad River Mouth East","ASHLAND","1","1","0","1","0","0","0","0"
"BR","2013","WI343129","Bad River Mouth East","ASHLAND","1","1","0","1","0","0","0","0"
"BR","2012","WI343129","Bad River Mouth East","ASHLAND","1","4","0","0","0","1","0","0"
"BR","2018","WI589480","Bad River Mouth West","ASHLAND","4","13","0","1","0","3","0","0"
"BR","2016","WI589480","Bad River Mouth West","ASHLAND","1","9","0","0","0","0","1","0"
"BR","2015","WI589480","Bad River Mouth West","ASHLAND","2","2","0","2","0","0","0","0"
"BR","2014","WI589480","Bad River Mouth West","ASHLAND","1","2","0","0","1","0","0","0"
"BR","2013","WI589480","Bad River Mouth West","ASHLAND","1","1","0","1","0","0","0","0"
"BR","2013","WI589480","Bad River Mouth West","ASHLAND","1","1","0","1","0","0","0","0"
"BR","2013","WI589480","Bad River Mouth West","ASHLAND","1","1","0","1","0","0","0","0"
"BR","2013","WI589480","Bad River Mouth West","ASHLAND","1","1","0","1","0","0","0","0"
"WI","2020","WI883392","Bayview Park Beach","ASHLAND","1","2","0","0","1","0","0","0"
