"State","Year","Beach Id","Beach Name","County","No. of beach actions","No. ofDays Under Action","No. of actions lessthan 1 day duration","No. of actions of 1 day duration","No. of actions of 2 day duration","No. of actions of 3 - 7 day duration","No. of actions of 8 - 30 day duration","No. of actions greater than 30 day duration"
"AS","2019","AS136161","FATUMAFUTI","EASTERN DISTRICT","7","48","0","0","0","7","0","0"
"AS","2018","AS136161","FATUMAFUTI","EASTERN DISTRICT","8","56","0","0","0","8","0","0"
"AS","2017","AS136161","FATUMAFUTI","EASTERN DISTRICT","9","63","0","0","0","9","0","0"
"AS","2016","AS136161","FATUMAFUTI","EASTERN DISTRICT","7","49","0","0","0","7","0","0"
"AS","2015","AS136161","FATUMAFUTI","EASTERN DISTRICT","5","35","0","0","0","5","0","0"
"AS","2014","AS136161","FATUMAFUTI","EASTERN DISTRICT","5","30","0","0","0","5","0","0"
"AS","2013","AS136161","FATUMAFUTI","EASTERN DISTRICT","7","46","0","0","0","7","0","0"
"AS","2012","AS136161","FATUMAFUTI","EASTERN DISTRICT","5","35","0","0","0","5","0","0"
"AS","2011","AS136161","FATUMAFUTI","EASTERN DISTRICT","4","41","0","0","0","2","2","0"
"AS","2010","AS136161","FATUMAFUTI","EASTERN DISTRICT","7","65","0","0","0","4","3","0"
"AS","2009","AS136161","FATUMAFUTI","EASTERN DISTRICT","6","43","0","0","0","5","1","0"
"AS","2008","AS136161","FATUMAFUTI","EASTERN DISTRICT","8","63","0","0","0","7","1","0"
"AS","2007","AS136161","FATUMAFUTI","EASTERN DISTRICT","2","14","0","0","0","2","0","0"
"AS","2019","AS173523","GATAIVAI","EASTERN DISTRICT","7","43","0","1","0","5","1","0"
"AS","2018","AS173523","GATAIVAI","EASTERN DISTRICT","9","61","0","0","0","9","0","0"
"AS","2017","AS173523","GATAIVAI","EASTERN DISTRICT","9","63","0","0","0","9","0","0"
"AS","2016","AS173523","GATAIVAI","EASTERN DISTRICT","11","76","0","0","0","11","0","0"
"AS","2015","AS173523","GATAIVAI","EASTERN DISTRICT","14","93","0","0","1","13","0","0"
"AS","2014","AS173523","GATAIVAI","EASTERN DISTRICT","5","30","0","0","0","5","0","0"
"AS","2013","AS173523","GATAIVAI","EASTERN DISTRICT","6","82","0","0","0","3","2","1"
"AS","2012","AS173523","GATAIVAI","EASTERN DISTRICT","11","77","0","0","0","11","0","0"
"AS","2011","AS173523","GATAIVAI","EASTERN DISTRICT","8","87","0","0","0","6","1","1"
"AS","2010","AS173523","GATAIVAI","EASTERN DISTRICT","8","71","0","0","0","5","3","0"
"AS","2009","AS173523","GATAIVAI","EASTERN DISTRICT","10","78","0","0","0","8","2","0"
"AS","2008","AS173523","GATAIVAI","EASTERN DISTRICT","9","63","0","0","0","9","0","0"
"AS","2007","AS173523","GATAIVAI","EASTERN DISTRICT","1","7","0","0","0","1","0","0"
"AS","2019","AS507491","LAULII","EASTERN DISTRICT","26","177","0","1","0","22","3","0"
"AS","2018","AS507491","LAULII","EASTERN DISTRICT","28","189","0","0","1","27","0","0"
"AS","2017","AS507491","LAULII","EASTERN DISTRICT","36","242","0","0","0","36","0","0"
"AS","2016","AS507491","LAULII","EASTERN DISTRICT","36","248","0","0","0","36","0","0"
"AS","2015","AS507491","LAULII","EASTERN DISTRICT","35","240","0","0","0","35","0","0"
"AS","2014","AS507491","LAULII","EASTERN DISTRICT","38","229","0","0","0","38","0","0"
"AS","2013","AS507491","LAULII","EASTERN DISTRICT","12","202","0","0","0","2","9","1"
"AS","2012","AS507491","LAULII","EASTERN DISTRICT","12","223","0","0","0","3","8","1"
"AS","2011","AS507491","LAULII","EASTERN DISTRICT","9","259","0","0","0","1","6","2"
"AS","2010","AS507491","LAULII","EASTERN DISTRICT","9","273","0","0","0","1","5","3"
"AS","2009","AS507491","LAULII","EASTERN DISTRICT","14","203","0","0","0","8","4","2"
"AS","2008","AS507491","LAULII","EASTERN DISTRICT","10","223","0","0","0","5","3","2"
"AS","2007","AS507491","LAULII","EASTERN DISTRICT","3","56","0","0","0","0","3","0"
"AS","2019","AS654284","MASAUSI","EASTERN DISTRICT","14","95","0","1","0","12","1","0"
"AS","2018","AS654284","MASAUSI","EASTERN DISTRICT","14","96","0","0","0","14","0","0"
"AS","2017","AS654284","MASAUSI","EASTERN DISTRICT","25","175","0","0","0","25","0","0"
"AS","2016","AS654284","MASAUSI","EASTERN DISTRICT","31","217","0","0","0","31","0","0"
"AS","2015","AS654284","MASAUSI","EASTERN DISTRICT","25","167","0","1","0","24","0","0"
"AS","2014","AS654284","MASAUSI","EASTERN DISTRICT","26","156","0","0","0","26","0","0"
"AS","2013","AS654284","MASAUSI","EASTERN DISTRICT","10","158","0","0","0","5","4","1"
"AS","2012","AS654284","MASAUSI","EASTERN DISTRICT","14","193","0","0","0","9","4","1"
"AS","2011","AS654284","MASAUSI","EASTERN DISTRICT","9","168","0","0","0","2","6","1"
"AS","2010","AS654284","MASAUSI","EASTERN DISTRICT","14","215","0","0","0","6","7","1"
"AS","2009","AS654284","MASAUSI","EASTERN DISTRICT","1","7","0","0","0","1","0","0"
"AS","2019","AS390419","MASEFAU","EASTERN DISTRICT","19","124","0","1","0","17","1","0"
"AS","2018","AS390419","MASEFAU","EASTERN DISTRICT","16","110","0","0","0","16","0","0"
"AS","2017","AS390419","MASEFAU","EASTERN DISTRICT","23","161","0","0","0","23","0","0"
"AS","2016","AS390419","MASEFAU","EASTERN DISTRICT","26","182","0","0","0","26","0","0"
"AS","2015","AS390419","MASEFAU","EASTERN DISTRICT","29","199","0","0","0","29","0","0"
"AS","2014","AS390419","MASEFAU","EASTERN DISTRICT","26","158","0","1","0","24","1","0"
"AS","2013","AS390419","MASEFAU","EASTERN DISTRICT","10","164","0","0","0","3","7","0"
"AS","2012","AS390419","MASEFAU","EASTERN DISTRICT","16","173","0","0","0","11","4","1"
"AS","2011","AS390419","MASEFAU","EASTERN DISTRICT","12","210","0","0","0","6","5","1"
"AS","2010","AS390419","MASEFAU","EASTERN DISTRICT","10","204","0","0","0","4","3","3"
"AS","2009","AS390419","MASEFAU","EASTERN DISTRICT","10","168","0","0","0","2","7","1"
"AS","2008","AS390419","MASEFAU","EASTERN DISTRICT","10","205","0","0","0","4","3","3"
"AS","2007","AS390419","MASEFAU","EASTERN DISTRICT","2","83","0","0","0","0","0","2"
"AS","2019","AS315489","ONENOA","EASTERN DISTRICT","14","92","0","1","0","12","1","0"
"AS","2018","AS315489","ONENOA","EASTERN DISTRICT","7","47","0","0","0","7","0","0"
"AS","2017","AS315489","ONENOA","EASTERN DISTRICT","9","63","0","0","0","9","0","0"
"AS","2016","AS315489","ONENOA","EASTERN DISTRICT","14","98","0","0","0","14","0","0"
"AS","2015","AS315489","ONENOA","EASTERN DISTRICT","17","118","0","0","0","17","0","0"
"AS","2014","AS315489","ONENOA","EASTERN DISTRICT","12","72","0","0","0","12","0","0"
"AS","2013","AS315489","ONENOA","EASTERN DISTRICT","10","111","0","0","0","4","6","0"
"AS","2012","AS315489","ONENOA","EASTERN DISTRICT","10","105","0","0","0","5","5","0"
"AS","2011","AS315489","ONENOA","EASTERN DISTRICT","12","140","0","0","0","9","2","1"
"AS","2010","AS315489","ONENOA","EASTERN DISTRICT","11","133","0","0","0","4","7","0"
"AS","2009","AS315489","ONENOA","EASTERN DISTRICT","11","218","0","0","0","4","6","1"
"AS","2008","AS315489","ONENOA","EASTERN DISTRICT","8","212","0","0","0","3","2","3"
"AS","2007","AS315489","ONENOA","EASTERN DISTRICT","1","90","0","0","0","0","0","1"
"AS","2019","AS588812","PALA LAGOON","EASTERN DISTRICT","23","140","0","2","0","21","0","0"
"AS","2018","AS588812","PALA LAGOON","EASTERN DISTRICT","22","152","0","0","0","22","0","0"
"AS","2017","AS588812","PALA LAGOON","EASTERN DISTRICT","18","126","0","0","0","18","0","0"
"AS","2016","AS588812","PALA LAGOON","EASTERN DISTRICT","18","125","0","0","0","18","0","0"
"AS","2015","AS588812","PALA LAGOON","EASTERN DISTRICT","24","159","0","0","1","23","0","0"
"AS","2014","AS588812","PALA LAGOON","EASTERN DISTRICT","22","132","0","0","0","22","0","0"
"AS","2013","AS588812","PALA LAGOON","EASTERN DISTRICT","10","158","0","0","0","4","6","0"
"AS","2012","AS588812","PALA LAGOON","EASTERN DISTRICT","11","124","0","0","0","5","6","0"
"AS","2011","AS588812","PALA LAGOON","EASTERN DISTRICT","13","183","0","0","0","7","5","1"
"AS","2010","AS588812","PALA LAGOON","EASTERN DISTRICT","17","184","0","0","0","11","6","0"
"AS","2009","AS588812","PALA LAGOON","EASTERN DISTRICT","10","188","0","0","0","5","3","2"
"AS","2008","AS588812","PALA LAGOON","EASTERN DISTRICT","9","180","0","0","0","6","1","2"
"AS","2007","AS588812","PALA LAGOON","EASTERN DISTRICT","4","36","0","0","0","2","2","0"
"AS","2019","AS854169","PALA LAGOON SPRING","EASTERN DISTRICT","21","134","0","1","0","20","0","0"
"AS","2018","AS854169","PALA LAGOON SPRING","EASTERN DISTRICT","15","103","0","0","0","15","0","0"
"AS","2017","AS854169","PALA LAGOON SPRING","EASTERN DISTRICT","22","154","0","0","0","22","0","0"
"AS","2016","AS854169","PALA LAGOON SPRING","EASTERN DISTRICT","16","111","0","0","0","16","0","0"
"AS","2015","AS854169","PALA LAGOON SPRING","EASTERN DISTRICT","22","146","0","0","1","21","0","0"
"AS","2014","AS854169","PALA LAGOON SPRING","EASTERN DISTRICT","22","132","0","0","0","22","0","0"
"AS","2013","AS854169","PALA LAGOON SPRING","EASTERN DISTRICT","10","136","0","0","0","4","6","0"
"AS","2012","AS854169","PALA LAGOON SPRING","EASTERN DISTRICT","15","138","0","0","0","10","5","0"
"AS","2011","AS854169","PALA LAGOON SPRING","EASTERN DISTRICT","13","148","0","0","0","9","3","1"
"AS","2010","AS854169","PALA LAGOON SPRING","EASTERN DISTRICT","14","133","0","0","0","8","6","0"
"AS","2009","AS854169","PALA LAGOON SPRING","EASTERN DISTRICT","13","111","0","0","0","11","2","0"
"AS","2008","AS854169","PALA LAGOON SPRING","EASTERN DISTRICT","12","147","0","0","0","7","4","1"
"AS","2007","AS854169","PALA LAGOON SPRING","EASTERN DISTRICT","2","21","0","0","0","1","1","0"
"AS","2019","AS402143","POUESI-AUA","EASTERN DISTRICT","18","115","0","1","0","15","2","0"
"AS","2018","AS402143","POUESI-AUA","EASTERN DISTRICT","17","117","0","0","0","17","0","0"
"AS","2017","AS402143","POUESI-AUA","EASTERN DISTRICT","16","112","0","0","0","16","0","0"
"AS","2016","AS402143","POUESI-AUA","EASTERN DISTRICT","13","91","0","0","0","13","0","0"
"AS","2015","AS402143","POUESI-AUA","EASTERN DISTRICT","9","62","0","0","0","9","0","0"
"AS","2014","AS402143","POUESI-AUA","EASTERN DISTRICT","23","138","0","0","0","23","0","0"
"AS","2013","AS402143","POUESI-AUA","EASTERN DISTRICT","13","211","0","0","0","6","5","2"
"AS","2012","AS402143","POUESI-AUA","EASTERN DISTRICT","11","85","0","0","0","9","2","0"
"AS","2011","AS402143","POUESI-AUA","EASTERN DISTRICT","14","168","0","0","0","11","2","1"
"AS","2010","AS402143","POUESI-AUA","EASTERN DISTRICT","14","186","0","0","0","7","7","0"
"AS","2009","AS402143","POUESI-AUA","EASTERN DISTRICT","12","167","0","0","0","7","4","1"
"AS","2008","AS402143","POUESI-AUA","EASTERN DISTRICT","16","168","0","0","0","11","4","1"
"AS","2007","AS402143","POUESI-AUA","EASTERN DISTRICT","4","55","0","0","0","1","3","0"
"AS","2019","AS691902","SAILELE","EASTERN DISTRICT","7","45","0","0","0","7","0","0"
"AS","2018","AS691902","SAILELE","EASTERN DISTRICT","5","35","0","0","0","5","0","0"
"AS","2017","AS691902","SAILELE","EASTERN DISTRICT","7","49","0","0","0","7","0","0"
"AS","2016","AS691902","SAILELE","EASTERN DISTRICT","6","42","0","0","0","6","0","0"
"AS","2015","AS691902","SAILELE","EASTERN DISTRICT","5","35","0","0","0","5","0","0"
"AS","2014","AS691902","SAILELE","EASTERN DISTRICT","7","42","0","0","0","7","0","0"
"AS","2013","AS691902","SAILELE","EASTERN DISTRICT","4","42","0","0","0","2","2","0"
"AS","2012","AS691902","SAILELE","EASTERN DISTRICT","6","49","0","0","0","5","1","0"
"AS","2011","AS691902","SAILELE","EASTERN DISTRICT","6","42","0","0","0","6","0","0"
"AS","2010","AS691902","SAILELE","EASTERN DISTRICT","7","112","0","0","0","2","4","1"
"AS","2009","AS691902","SAILELE","EASTERN DISTRICT","6","49","0","0","0","5","1","0"
"AS","2008","AS691902","SAILELE","EASTERN DISTRICT","2","14","0","0","0","2","0","0"
"AS","2007","AS691902","SAILELE","EASTERN DISTRICT","1","14","0","0","0","0","1","0"
"AS","2019","AS550747","TULA","EASTERN DISTRICT","4","21","0","1","0","3","0","0"
"AS","2018","AS550747","TULA","EASTERN DISTRICT","2","12","0","0","0","2","0","0"
"AS","2017","AS550747","TULA","EASTERN DISTRICT","4","28","0","0","0","4","0","0"
"AS","2016","AS550747","TULA","EASTERN DISTRICT","2","14","0","0","0","2","0","0"
"AS","2015","AS550747","TULA","EASTERN DISTRICT","4","28","0","0","0","4","0","0"
"AS","2014","AS550747","TULA","EASTERN DISTRICT","5","30","0","0","0","5","0","0"
"AS","2013","AS550747","TULA","EASTERN DISTRICT","4","28","0","0","0","4","0","0"
"AS","2012","AS550747","TULA","EASTERN DISTRICT","7","47","0","0","0","6","1","0"
"AS","2011","AS550747","TULA","EASTERN DISTRICT","4","35","0","0","0","3","1","0"
"AS","2010","AS550747","TULA","EASTERN DISTRICT","5","35","0","0","0","5","0","0"
"AS","2009","AS550747","TULA","EASTERN DISTRICT","3","20","0","0","0","3","0","0"
"AS","2008","AS550747","TULA","EASTERN DISTRICT","2","14","0","0","0","2","0","0"
"AS","2007","AS550747","TULA","EASTERN DISTRICT","2","14","0","0","0","2","0","0"
"AS","2019","AS567401","UTULEI BEACH","EASTERN DISTRICT","8","53","0","0","0","8","0","0"
"AS","2018","AS567401","UTULEI BEACH","EASTERN DISTRICT","13","91","0","0","0","13","0","0"
"AS","2017","AS567401","UTULEI BEACH","EASTERN DISTRICT","15","105","0","0","0","15","0","0"
"AS","2016","AS567401","UTULEI BEACH","EASTERN DISTRICT","16","111","0","0","0","16","0","0"
"AS","2015","AS567401","UTULEI BEACH","EASTERN DISTRICT","16","106","0","0","1","15","0","0"
"AS","2014","AS567401","UTULEI BEACH","EASTERN DISTRICT","18","108","0","0","0","18","0","0"
"AS","2013","AS567401","UTULEI BEACH","EASTERN DISTRICT","15","135","0","0","0","11","4","0"
"AS","2012","AS567401","UTULEI BEACH","EASTERN DISTRICT","14","130","0","0","0","9","5","0"
"AS","2011","AS567401","UTULEI BEACH","EASTERN DISTRICT","12","126","0","0","0","9","2","1"
"AS","2010","AS567401","UTULEI BEACH","EASTERN DISTRICT","9","153","0","0","0","4","4","1"
"AS","2009","AS567401","UTULEI BEACH","EASTERN DISTRICT","10","112","0","0","0","7","3","0"
"AS","2008","AS567401","UTULEI BEACH","EASTERN DISTRICT","13","142","0","0","0","10","2","1"
"AS","2007","AS567401","UTULEI BEACH","EASTERN DISTRICT","4","54","0","0","0","3","0","1"
"AS","2019","AS139665","VATIA","EASTERN DISTRICT","8","74","0","0","0","6","2","0"
"AS","2018","AS139665","VATIA","EASTERN DISTRICT","15","105","0","0","0","15","0","0"
"AS","2017","AS139665","VATIA","EASTERN DISTRICT","20","136","0","0","0","20","0","0"
"AS","2016","AS139665","VATIA","EASTERN DISTRICT","20","136","0","0","0","20","0","0"
"AS","2015","AS139665","VATIA","EASTERN DISTRICT","19","132","0","0","0","19","0","0"
"AS","2014","AS139665","VATIA","EASTERN DISTRICT","20","120","0","0","0","20","0","0"
"AS","2013","AS139665","VATIA","EASTERN DISTRICT","14","159","0","0","0","8","5","1"
"AS","2012","AS139665","VATIA","EASTERN DISTRICT","13","119","0","0","0","10","3","0"
"AS","2011","AS139665","VATIA","EASTERN DISTRICT","9","98","0","0","0","4","5","0"
"AS","2010","AS139665","VATIA","EASTERN DISTRICT","11","120","0","0","0","6","5","0"
"AS","2009","AS139665","VATIA","EASTERN DISTRICT","9","154","0","0","0","4","4","1"
"AS","2008","AS139665","VATIA","EASTERN DISTRICT","8","212","0","0","0","1","4","3"
"AS","2007","AS139665","VATIA","EASTERN DISTRICT","2","83","0","0","0","0","0","2"
"AS","2019","AS113602","YACHT CLUB","EASTERN DISTRICT","9","61","0","0","0","9","0","0"
"AS","2018","AS113602","YACHT CLUB","EASTERN DISTRICT","16","112","0","0","0","16","0","0"
"AS","2017","AS113602","YACHT CLUB","EASTERN DISTRICT","16","112","0","0","0","16","0","0"
"AS","2016","AS113602","YACHT CLUB","EASTERN DISTRICT","19","132","0","0","0","19","0","0"
"AS","2015","AS113602","YACHT CLUB","EASTERN DISTRICT","20","134","0","0","1","19","0","0"
"AS","2014","AS113602","YACHT CLUB","EASTERN DISTRICT","18","129","0","0","0","16","2","0"
"AS","2013","AS113602","YACHT CLUB","EASTERN DISTRICT","13","151","0","0","0","7","6","0"
"AS","2012","AS113602","YACHT CLUB","EASTERN DISTRICT","12","89","0","0","0","10","2","0"
"AS","2011","AS113602","YACHT CLUB","EASTERN DISTRICT","11","143","0","0","0","6","5","0"
"AS","2010","AS113602","YACHT CLUB","EASTERN DISTRICT","14","148","0","0","0","7","7","0"
"AS","2009","AS113602","YACHT CLUB","EASTERN DISTRICT","11","140","0","0","0","6","4","1"
"AS","2008","AS113602","YACHT CLUB","EASTERN DISTRICT","13","132","0","0","0","10","3","0"
"AS","2007","AS113602","YACHT CLUB","EASTERN DISTRICT","2","29","0","0","0","0","2","0"
"MI","2017","MI000321","Cross Village Beach","EMMET","1","5","0","0","0","1","0","0"
"MI","2006","MI000321","Cross Village Beach","EMMET","2","3","0","1","1","0","0","0"
"MI","2005","MI000321","Cross Village Beach","EMMET","1","1","0","1","0","0","0","0"
"MI","2019","MI001292","Mackinaw City Beach #1","EMMET","1","1","0","1","0","0","0","0"
"MI","2011","MI001292","Mackinaw City Beach #1","EMMET","1","1","0","1","0","0","0","0"
"MI","2006","MI001292","Mackinaw City Beach #1","EMMET","1","1","0","1","0","0","0","0"
"MI","2020","MI001293","Mackinaw City Beach #2","EMMET","1","1","0","1","0","0","0","0"
"MI","2006","MI001293","Mackinaw City Beach #2","EMMET","1","1","0","1","0","0","0","0"
"MI","2020","MI001529","Magnus Park","EMMET","1","2","0","0","1","0","0","0"
"MI","2011","MI001529","Magnus Park","EMMET","1","1","0","1","0","0","0","0"
"MI","2011","MI000404","Petoskey State Park","EMMET","1","2","0","0","1","0","0","0"
"MI","2006","MI000404","Petoskey State Park","EMMET","1","2","0","0","1","0","0","0"
"MI","2015","MI929878","Sturgeon Bay Township Beach","EMMET","1","1","0","1","0","0","0","0"
"MI","2006","MI000347","Thorne Swift Preserve","EMMET","1","1","0","1","0","0","0","0"
"MI","2017","MI000365","Wilderness State Park","EMMET","1","1","0","1","0","0","0","0"
"MI","2006","MI000365","Wilderness State Park","EMMET","3","6","0","1","1","1","0","0"
"MI","2004","MI000365","Wilderness State Park","EMMET","1","2","0","0","1","0","0","0"
"MI","2006","MI000345","Zoll Street Beach","EMMET","1","1","0","1","0","0","0","0"
"MI","2020","MI001537","Zorn Park - Harbor Springs","EMMET","1","3","0","0","0","1","0","0"
"MI","2012","MI001537","Zorn Park - Harbor Springs","EMMET","1","2","0","0","1","0","0","0"
"PA","2020","PA500495","1 EAST","ERIE","1","1","0","1","0","0","0","0"
"PA","2019","PA500495","1 EAST","ERIE","2","2","0","2","0","0","0","0"
"PA","2018","PA500495","1 EAST","ERIE","2","2","0","2","0","0","0","0"
"PA","2017","PA500495","1 EAST","ERIE","6","10","0","3","2","1","0","0"
"PA","2016","PA500495","1 EAST","ERIE","12","17","0","7","5","0","0","0"
"PA","2015","PA500495","1 EAST","ERIE","6","8","0","4","2","0","0","0"
"PA","2014","PA500495","1 EAST","ERIE","11","17","0","7","2","2","0","0"
"PA","2011","PA500495","1 EAST","ERIE","3","3","0","3","0","0","0","0"
"PA","2010","PA500495","1 EAST","ERIE","2","2","0","2","0","0","0","0"
"PA","2009","PA500495","1 EAST","ERIE","3","4","0","2","1","0","0","0"
"PA","2008","PA500495","1 EAST","ERIE","7","7","0","7","0","0","0","0"
"PA","2020","PA791722","BARRACKS BEACH","ERIE","2","2","0","2","0","0","0","0"
"PA","2018","PA791722","BARRACKS BEACH","ERIE","3","3","0","3","0","0","0","0"
"PA","2017","PA791722","BARRACKS BEACH","ERIE","5","8","0","2","3","0","0","0"
"PA","2016","PA791722","BARRACKS BEACH","ERIE","9","15","0","4","4","1","0","0"
"PA","2015","PA791722","BARRACKS BEACH","ERIE","2","5","0","0","1","1","0","0"
"PA","2014","PA791722","BARRACKS BEACH","ERIE","11","16","0","6","5","0","0","0"
"PA","2013","PA791722","BARRACKS BEACH","ERIE","12","18","0","6","6","0","0","0"
"PA","2012","PA791722","BARRACKS BEACH","ERIE","9","15","0","5","3","1","0","0"
"PA","2010","PA791722","BARRACKS BEACH","ERIE","2","2","0","2","0","0","0","0"
"PA","2009","PA791722","BARRACKS BEACH","ERIE","3","5","0","1","2","0","0","0"
"PA","2008","PA791722","BARRACKS BEACH","ERIE","5","5","0","5","0","0","0","0"
"PA","2007","PA791722","BARRACKS BEACH","ERIE","1","1","0","1","0","0","0","0"
"PA","2006","PA791722","BARRACKS BEACH","ERIE","6","9","0","3","3","0","0","0"
"PA","2005","PA791722","BARRACKS BEACH","ERIE","4","6","0","3","0","1","0","0"
"PA","2013","PA232114","BEACH 1","ERIE","8","16","0","2","5","1","0","0"
"PA","2012","PA232114","BEACH 1","ERIE","8","15","0","3","4","1","0","0"
"PA","2007","PA232114","BEACH 1","ERIE","3","92","0","2","0","0","0","1"
"PA","2006","PA232114","BEACH 1","ERIE","26","46","0","10","12","4","0","0"
"PA","2005","PA232114","BEACH 1","ERIE","5","9","0","2","2","1","0","0"
"PA","2009","PA429993","BEACH 1 EAST","ERIE","4","6","0","2","2","0","0","0"
"PA","2008","PA429993","BEACH 1 EAST","ERIE","6","98","0","5","0","0","0","1"
"PA","2009","PA331010","BEACH 1 WEST EAST","ERIE","6","9","0","3","3","0","0","0"
"PA","2008","PA331010","BEACH 1 WEST EAST","ERIE","7","8","0","6","1","0","0","0"
"PA","2020","PA330452","BEACH 10 (BUNDY BEACH)","ERIE","1","1","0","1","0","0","0","0"
"PA","2018","PA330452","BEACH 10 (BUNDY BEACH)","ERIE","2","8","0","0","1","1","0","0"
"PA","2017","PA330452","BEACH 10 (BUNDY BEACH)","ERIE","2","2","0","2","0","0","0","0"
"PA","2016","PA330452","BEACH 10 (BUNDY BEACH)","ERIE","4","7","0","1","3","0","0","0"
"PA","2015","PA330452","BEACH 10 (BUNDY BEACH)","ERIE","1","3","0","0","0","1","0","0"
"PA","2014","PA330452","BEACH 10 (BUNDY BEACH)","ERIE","2","3","0","1","1","0","0","0"
"PA","2013","PA330452","BEACH 10 (BUNDY BEACH)","ERIE","2","4","0","0","2","0","0","0"
"PA","2012","PA330452","BEACH 10 (BUNDY BEACH)","ERIE","5","6","0","4","1","0","0","0"
"PA","2010","PA330452","BEACH 10 (BUNDY BEACH)","ERIE","1","1","0","1","0","0","0","0"
"PA","2009","PA330452","BEACH 10 (BUNDY BEACH)","ERIE","1","1","0","1","0","0","0","0"
"PA","2008","PA330452","BEACH 10 (BUNDY BEACH)","ERIE","4","5","0","3","1","0","0","0"
"PA","2007","PA330452","BEACH 10 (BUNDY BEACH)","ERIE","1","1","0","1","0","0","0","0"
"PA","2006","PA330452","BEACH 10 (BUNDY BEACH)","ERIE","5","10","0","2","2","1","0","0"
"PA","2020","PA102094","BEACH 11","ERIE","9","24","0","4","2","2","1","0"
"PA","2019","PA102094","BEACH 11","ERIE","4","5","0","3","1","0","0","0"
"PA","2018","PA102094","BEACH 11","ERIE","6","36","0","0","2","2","2","0"
"PA","2017","PA102094","BEACH 11","ERIE","9","13","0","5","4","0","0","0"
"PA","2016","PA102094","BEACH 11","ERIE","14","20","0","9","4","1","0","0"
"PA","2015","PA102094","BEACH 11","ERIE","6","10","0","2","4","0","0","0"
"PA","2014","PA102094","BEACH 11","ERIE","3","5","0","1","2","0","0","0"
"PA","2013","PA102094","BEACH 11","ERIE","6","9","0","3","3","0","0","0"
"PA","2012","PA102094","BEACH 11","ERIE","6","9","0","3","3","0","0","0"
"PA","2011","PA102094","BEACH 11","ERIE","1","2","0","0","1","0","0","0"
"PA","2010","PA102094","BEACH 11","ERIE","2","2","0","2","0","0","0","0"
"PA","2009","PA102094","BEACH 11","ERIE","1","1","0","1","0","0","0","0"
"PA","2008","PA102094","BEACH 11","ERIE","1","1","0","1","0","0","0","0"
"PA","2020","PA168215","BEACH 6","ERIE","2","3","0","1","1","0","0","0"
"PA","2019","PA168215","BEACH 6","ERIE","1","1","0","1","0","0","0","0"
"PA","2018","PA168215","BEACH 6","ERIE","6","6","0","6","0","0","0","0"
"PA","2017","PA168215","BEACH 6","ERIE","10","14","0","6","4","0","0","0"
"PA","2016","PA168215","BEACH 6","ERIE","9","13","0","5","4","0","0","0"
"PA","2015","PA168215","BEACH 6","ERIE","3","4","0","2","1","0","0","0"
"PA","2014","PA168215","BEACH 6","ERIE","9","15","0","5","2","2","0","0"
"PA","2013","PA168215","BEACH 6","ERIE","4","9","0","1","2","1","0","0"
"PA","2012","PA168215","BEACH 6","ERIE","6","13","0","3","2","1","0","0"
"PA","2011","PA168215","BEACH 6","ERIE","3","3","0","3","0","0","0","0"
"PA","2010","PA168215","BEACH 6","ERIE","2","2","0","2","0","0","0","0"
"PA","2009","PA168215","BEACH 6","ERIE","2","2","0","2","0","0","0","0"
"PA","2008","PA168215","BEACH 6","ERIE","2","3","0","1","1","0","0","0"
"PA","2006","PA168215","BEACH 6","ERIE","4","6","0","2","2","0","0","0"
"PA","2005","PA168215","BEACH 6","ERIE","4","7","0","2","1","1","0","0"
"PA","2019","PA230422","BEACH 7 (WATER WORKS BEACH)","ERIE","2","6","0","1","0","1","0","0"
"PA","2017","PA230422","BEACH 7 (WATER WORKS BEACH)","ERIE","4","5","0","3","1","0","0","0"
"PA","2016","PA230422","BEACH 7 (WATER WORKS BEACH)","ERIE","3","5","0","1","2","0","0","0"
"PA","2015","PA230422","BEACH 7 (WATER WORKS BEACH)","ERIE","4","6","0","2","2","0","0","0"
"PA","2014","PA230422","BEACH 7 (WATER WORKS BEACH)","ERIE","7","10","0","5","1","1","0","0"
"PA","2013","PA230422","BEACH 7 (WATER WORKS BEACH)","ERIE","5","7","0","3","2","0","0","0"
"PA","2012","PA230422","BEACH 7 (WATER WORKS BEACH)","ERIE","3","5","0","1","2","0","0","0"
"PA","2011","PA230422","BEACH 7 (WATER WORKS BEACH)","ERIE","3","3","0","3","0","0","0","0"
"PA","2010","PA230422","BEACH 7 (WATER WORKS BEACH)","ERIE","2","2","0","2","0","0","0","0"
"PA","2009","PA230422","BEACH 7 (WATER WORKS BEACH)","ERIE","2","2","0","2","0","0","0","0"
"PA","2007","PA230422","BEACH 7 (WATER WORKS BEACH)","ERIE","1","1","0","1","0","0","0","0"
"PA","2006","PA230422","BEACH 7 (WATER WORKS BEACH)","ERIE","3","4","0","2","1","0","0","0"
"PA","2005","PA230422","BEACH 7 (WATER WORKS BEACH)","ERIE","1","1","0","1","0","0","0","0"
"PA","2020","PA995339","BEACH 8 (PETTINATO BEACH)","ERIE","1","1","0","1","0","0","0","0"
"PA","2019","PA995339","BEACH 8 (PETTINATO BEACH)","ERIE","1","1","0","1","0","0","0","0"
"PA","2018","PA995339","BEACH 8 (PETTINATO BEACH)","ERIE","2","3","0","1","1","0","0","0"
